use_case_id,sector_id
banking-kyc-onboarding,ISIC-K-6419
banking-kyc-onboarding,ISIC-K-6512
banking-re-kyc,ISIC-K-6419
banking-reidentification-password-reset,ISIC-K-6419
banking-age-of-majority-reidentification,ISIC-K-6419
education-maturitaetszeugnis-issuance,ISIC-P-8521
education-university-immatriculation,ISIC-P-8530
retail-hospitality-age-verification,ISIC-G-4711
retail-hospitality-age-verification,ISIC-I-5610
employment-identity-proofing,ISIC-C
employment-identity-proofing,ISIC-J
employment-identity-proofing,ISIC-K
employment-identity-proofing,ISIC-P
employment-identity-proofing,ISIC-Q
aerospace-supplier-onboarding,ISIC-C-3030
healthcare-patient-identification,ISIC-Q-8610
egov-service-access,ISIC-O-8411
